year,imr_black,imr_white,total_difference,composition_effect,rate_effect,composition_pct,rate_pct
2003,13.244020954328414,5.553510596553125,7.690510357775289,6.06924343598616,1.6212669217891293,78.91860427507272,21.08139572492728
2004,13.297886286292583,5.512648199317136,7.785238086975447,6.008724394576002,1.776513692399445,77.18099725978172,22.819002740218288
2005,13.232926135331795,5.612023051981732,7.620903083350063,6.277089006157841,1.3438140771922196,82.36673446053723,17.633265539462734
2006,13.003295366871098,5.438244980735191,7.5650503861359075,5.869069673085525,1.695980713050384,77.58136923769176,22.418630762308254
2007,12.986783660089799,5.484368528356041,7.502415131733758,5.91012392309891,1.5922912086348493,78.77628496056201,21.223715039437995
2008,12.373998449211685,5.3812612054273,6.992737243784385,5.478835734974143,1.5139015088102394,78.35037330830785,21.649626691692113
2009,12.083305828767575,5.1962286286157315,6.887077200151843,5.394171525775264,1.492905674376581,78.32308785004379,21.67691214995624
2010,11.206593639021458,5.067449986774509,6.139143652246949,4.947312718388359,1.191830933858592,80.5863651126265,19.413634887373544
2011,11.18431846638746,4.9532080122920705,6.231110454095389,5.069524606020556,1.1615858480748316,81.35828506600485,18.641714933995125
2012,10.917655497277485,4.945248198137194,5.972407299140291,4.871559712541049,1.1008475865992393,81.56777440886015,18.432225591139822
2013,10.876808138063316,4.940532633059292,5.936275505004024,4.911490914861139,1.0247845901428834,82.7369098809677,17.26309011903228
2014,10.980794173951061,4.872374911944294,6.108419262006767,4.915330430742249,1.1930888312645194,80.46812472933368,19.531875270666347
2015,11.131151485329418,4.823397864550216,6.307753620779202,4.9762369134213555,1.3315167073578462,78.89079397502906,21.109206024970945
2016,11.114971101075138,4.764392537510192,6.350578563564946,4.967786526902921,1.3827920366620245,78.22573135941515,21.77426864058483
2017,10.764424705483835,4.597807679870083,6.166617025613752,4.7875679497852355,1.3790490758285137,77.63686199255642,22.36313800744355
2018,10.548273596187695,4.541971302743029,6.006302293444666,4.8361394667883,1.1701628266563642,80.51775003177092,19.482249968229052
2019,10.425415641240999,4.397446610105114,6.027969031135885,4.722346211941457,1.3056228191944272,78.34058515479131,21.659414845208673
2020,10.22131315507859,4.312874491105849,5.908438663972741,4.492460269074192,1.4159783948985465,76.03464340702037,23.96535659297959
2021,10.269628664191869,4.256872970956102,6.012755693235767,4.212772890431596,1.79998280280417,70.06392917594978,29.936070824050205
2022,10.638924792859187,4.406160231638138,6.23276456122105,4.38478308036933,1.8479814808517219,70.35053285424142,29.649467145758624
2023,10.600295099790321,4.379537462921541,6.22075763686878,4.322652461794932,1.8981051750738493,69.4875562451705,30.512443754829533
2024,10.734124961777592,4.29562256141547,6.438502400362122,4.403034458819205,2.0354679415429198,68.3860032198103,31.61399678018973
