year,gestational_age_group,prop_black,prop_white,mortality_black,mortality_white,composition_contribution,rate_contribution,total_contribution,comp_lo,comp_hi,rate_lo,rate_hi,total_lo,total_hi
2003,<32 weeks,0.03648034741180315,0.014320886478152314,237.31098911682557,192.28903976721628,4.759852528575598,1.143585289545615,5.903437818121213,4.675133024444743,4.843107310766554,0.9412817386720569,1.3499451107328553,5.669856776567251,6.146359364766415
2003,32-33 weeks,0.023461188465984353,0.013327296845862951,17.44664919505803,16.741035078005407,0.1732271435830769,0.012979237290511253,0.18620638087358815,0.16042232682834937,0.18656877129102495,-0.03650056376013283,0.06203917765143248,0.12971579431638594,0.2428453353536949
2003,34-36 weeks,0.11433881785825964,0.08300488590865053,8.143072242878652,6.819227712002677,0.2344138442979455,0.13062619146731633,0.36504003576526184,0.22135558165228506,0.24632632352143866,0.05837420324506476,0.20851142674428172,0.28819903009377146,0.4509734217656439
2003,37-41 weeks,0.7648154199122336,0.8267863777949863,3.872639320841047,2.2349694758925702,-0.1892471837533546,1.3032591346354498,1.1140119508820954,-0.19524065711733968,-0.18329686953446375,1.1489605614047114,1.4555175122829016,0.963314664577897,1.2607955010038432
2003,42+ weeks,0.06090422635171932,0.06256055297234792,4.672762410222389,2.6019080659150045,-0.006024615182963637,0.1278387873160986,0.12181417213313496,-0.0066556466155397575,-0.005407824389905107,0.08068259443792627,0.17496613411528034,0.07526991125708708,0.16866123923535656
2004,<32 weeks,0.03697644379423234,0.014567731240080371,234.9326400378161,184.2224163378415,4.696362586970737,1.3069083232103216,6.003270910181058,4.6050044488669775,4.783917479619604,1.1066178886146887,1.516830843020122,5.74959932082848,6.242877311820751
2004,32-33 weeks,0.02367331386192781,0.013569021751769791,17.867690490253985,16.00750250622514,0.1711424226622021,0.03463887260288488,0.20578129526508698,0.15934056415324185,0.18465824268248843,-0.011595815504876435,0.08629234528084533,0.1520997964939775,0.26875646482849086
2004,34-36 weeks,0.1143359534084573,0.08442342298462312,9.080624942672822,6.96999937628641,0.2400573941312004,0.20975331068712771,0.4498107048183281,0.22718704408739493,0.2524418190806491,0.12284598739225625,0.29363606294938743,0.3539106999827822,0.5399206358116982
2004,37-41 weeks,0.7663606125277694,0.8266852893515014,3.7906174236117605,2.246854642358385,-0.18210427560597928,1.2296424860747175,1.0475382104687383,-0.1876080898042255,-0.176087612229886,1.0671600196513766,1.378330888435249,0.8906005119044592,1.1921509181581225
2004,42+ weeks,0.05865367640761308,0.060754534672025295,4.172005840808177,2.730109204368175,-0.007250182717291325,0.08608714895952418,0.07883696624223285,-0.008084941514589371,-0.006520779435544073,0.04142241765153484,0.13353237829107822,0.03459501376055826,0.12556225216493266
2005,<32 weeks,0.03817675840872809,0.01460282565559315,228.6503873510624,187.9081015719468,4.909960902809263,1.075180448625716,5.9851413514349785,4.820860163571063,5.005659576198016,0.8534470199916698,1.2765537448133966,5.71960199174445,6.2249799705515
2005,32-33 weeks,0.02391300963888346,0.013675360821784168,17.647909735281353,17.495722909067435,0.17989408458499467,0.0028602274014809816,0.18275431198647565,0.16568680294767577,0.19308861042402076,-0.05020243302448214,0.05042599250352795,0.12225109256531581,0.23575621462606988
2005,34-36 weeks,0.11830419299213565,0.08618845502722579,8.610985219514335,6.945155805043945,0.2497984744449491,0.17032493405679622,0.42012340850174534,0.23730634050721414,0.2635870340888769,0.09598329397078109,0.2535379292955029,0.3381961952421166,0.51212619041168606
2005,37-41 weeks,0.7659409975111514,0.827930331984735,3.6987609828136327,2.276165101680971,-0.1851908457533375,1.1337173941981438,0.9485265484448062,-0.19124900657900668,-0.1797055528408949,0.9806497489086541,1.2863171042468655,0.7997206333685042,1.0985353483880855
2005,42+ weeks,0.053665041449101406,0.057603026510661876,4.286450947531263,2.528948800282016,-0.013419471197725843,0.09777693417977953,0.0843574629820537,-0.014920856292448633,-0.01176054594242122,0.05609344351923313,0.14318313704507377,0.04413233609346503,0.12855192820719857
2006,<32 weeks,0.037152973022452955,0.014686747502459848,226.7147696775045,179.71160693092807,4.565433317079349,1.2183154102847575,5.783748727364107,4.480681687281566,4.653429419013258,1.0126629447721016,1.4178523152233717,5.528510948320099,6.026107842219755
2006,32-33 weeks,0.024211792705731584,0.013556394338996138,17.080745341614907,16.554162648666026,0.17919667183246824,0.009944036820904896,0.18914070865337312,0.16491021338124012,0.19230676021542956,-0.03798096689315146,0.0535404543772014,0.135515237362236,0.240588135932423
2006,34-36 weeks,0.11923637718873821,0.0862393228687788,9.07533072863116,6.614217789163597,0.25885444234865607,0.25284945207885556,0.5117038944275116,0.2461025490559055,0.2717982818286281,0.1760145025335666,0.3307703953756886,0.42506884993544247,0.5955847519983036
2006,37-41 weeks,0.7671176001359993,0.8290064134687201,3.7545440210697683,2.2287027478222843,-0.1851480212017825,1.2177159485897546,1.0325679273879722,-0.19081864034451732,-0.17914000602455138,1.0706366745973115,1.3718660025317864,0.8884046354414474,1.1818681012871541
2006,42+ weeks,0.05228125694707798,0.05651112182104514,3.908204102051026,2.7682461348652505,-0.014120241169960947,0.06200936947290727,0.047889128302946324,-0.015635965590869064,-0.01265365797950715,0.02333436205673223,0.10060426213119397,0.01072622318952142,0.08559408483422759
2007,<32 weeks,0.03703400482549712,0.014386091026001531,226.39791937581273,184.9188846258421,4.65773376065675,1.0664279713355664,5.724161731992317,4.568678961447438,4.75406260925202,0.8710148340592605,1.2605618306599038,5.481036835316731,5.9595052203368395
2007,32-33 weeks,0.023907561069186328,0.013390829600378634,16.719264083797757,16.163058647885496,0.17290727911989193,0.010372783820595598,0.18328006294048751,0.15899565243069985,0.18712499849559294,-0.036259397369350466,0.05588605772730212,0.1304203015142127,0.2356440537112461
2007,34-36 weeks,0.11773827697968187,0.08454550235277193,9.24410994764398,6.950049092432568,0.2687645356447985,0.23202564990540264,0.5007901855502012,0.255687756098507,0.2814643202433608,0.15213492188821867,0.3125840485586598,0.4121153470690078,0.5898337604174035
2007,37-41 weeks,0.769153097965939,0.8313679455413809,3.756754331224681,2.261491340098291,-0.18721211855646094,1.1965999414377433,1.0093878228812823,-0.19286440375906364,-0.18120523879937617,1.0382255545964036,1.3603326493144632,0.8556683210495521,1.168448030242295
2007,42+ weeks,0.0521670591596957,0.05630963147946697,4.308089977536388,2.485277432600357,-0.014071007895634355,0.09886633626510533,0.08479532836947097,-0.015568333143968225,-0.012540423407363938,0.057553420391533085,0.14061409161373342,0.04495703303192306,0.12526026432390214
2008,<32 weeks,0.03483296717498061,0.01406449899289493,226.45271993692901,178.6534890308772,4.206717705656619,1.1686306380395695,5.375348343696189,4.124782325477218,4.285386747858462,0.9777099343709239,1.368398162142886,5.156405125349839,5.6262048420375175
2008,32-33 weeks,0.023631752390798656,0.013206578277518316,18.66156264953175,18.603559816310796,0.19424769502956168,0.001068363774946366,0.19531605880450806,0.18043350399411373,0.2080213667952761,-0.04327851376961607,0.04929260225901379,0.14562799066332457,0.24990817734626047
2008,34-36 weeks,0.11290869733781339,0.08150866553044556,8.598612204020316,7.380895483478525,0.25087852482677125,0.11837263676415982,0.3692511615909311,0.23836636092055336,0.2628657104109132,0.04149033273989347,0.19691939346273088,0.28532990967075966,0.4540282551999256
