year,race,imr,lo,hi
2003,Non-Hispanic Black,13.244020954328414,12.927720918139686,13.53045650501196
2003,Non-Hispanic White,5.553510596553125,5.456712655093742,5.654670956450476
2004,Non-Hispanic Black,13.297886286292583,13.018225165655513,13.6108445591055
2004,Non-Hispanic White,5.512648199317136,5.418284194281463,5.605267973150684
2005,Non-Hispanic Black,13.232926135331795,12.93198127223576,13.542562078525854
2005,Non-Hispanic White,5.612023051981732,5.511794165491331,5.707848577350167
2006,Non-Hispanic Black,13.003295366871098,12.722102169449856,13.282935688038602
2006,Non-Hispanic White,5.438244980735191,5.342781557726011,5.532368451555607
2007,Non-Hispanic Black,12.986783660089799,12.71528924890158,13.27413029484333
2007,Non-Hispanic White,5.484368528356041,5.394392983971945,5.573931191362695
2008,Non-Hispanic Black,12.373998449211685,12.105841302662185,12.653503812354613
2008,Non-Hispanic White,5.3812612054273,5.280749905929745,5.477334602359502
2009,Non-Hispanic Black,12.083305828767575,11.800902699848175,12.359396659845533
2009,Non-Hispanic White,5.1962286286157315,5.107753468121948,5.291055037651561
2010,Non-Hispanic Black,11.206593639021458,10.940458361619887,11.472686273372654
2010,Non-Hispanic White,5.067449986774509,4.968606868900611,5.158879870807866
2011,Non-Hispanic Black,11.18431846638746,10.90440827252709,11.474504555071023
2011,Non-Hispanic White,4.9532080122920705,4.863418550519166,5.042518191688633
2012,Non-Hispanic Black,10.917655497277485,10.634886150853998,11.169475393894249
2012,Non-Hispanic White,4.945248198137194,4.8493126401239826,5.033695586752732
2013,Non-Hispanic Black,10.876808138063316,10.621977109975084,11.128238549391588
2013,Non-Hispanic White,4.940532633059292,4.845779786939233,5.033871609304392
2014,Non-Hispanic Black,10.980794173951061,10.705172014682699,11.278508360982812
2014,Non-Hispanic White,4.872374911944294,4.771995079160795,4.96393081648628
2015,Non-Hispanic Black,11.131151485329418,10.865219538580932,11.411601145497334
2015,Non-Hispanic White,4.823397864550216,4.724445126541109,4.914993702786119
2016,Non-Hispanic Black,11.114971101075138,10.848571793713335,11.390460384803
2016,Non-Hispanic White,4.764392537510192,4.669658856213776,4.862055748958795
2017,Non-Hispanic Black,10.764424705483835,10.488413815599632,11.015388503250295
2017,Non-Hispanic White,4.597807679870083,4.502103970495049,4.699555834047752
2018,Non-Hispanic Black,10.548273596187695,10.287843182939282,10.808612997584543
2018,Non-Hispanic White,4.541971302743029,4.4511831694188615,4.632759436067198
2019,Non-Hispanic Black,10.425415641240999,10.139289788044053,10.676652570502215
2019,Non-Hispanic White,4.397446610105114,4.304196014846751,4.490736496344628
2020,Non-Hispanic Black,10.22131315507859,9.953731813386561,10.515410711981723
2020,Non-Hispanic White,4.312874491105849,4.216512614695128,4.411958454420829
2021,Non-Hispanic Black,10.269628664191869,9.982486355649167,10.558661980845542
2021,Non-Hispanic White,4.256872970956102,4.161134521225366,4.3552291132055
2022,Non-Hispanic Black,10.638924792859187,10.35988873916169,10.927684383802744
2022,Non-Hispanic White,4.406160231638138,4.306946691728462,4.50048257945394
2023,Non-Hispanic Black,10.600295099790321,10.309997833754998,10.888497647784911
2023,Non-Hispanic White,4.379537462921541,4.287462219964694,4.48059291854105
2024,Non-Hispanic Black,10.734124961777592,10.451703869805998,11.037833808989907
2024,Non-Hispanic White,4.29562256141547,4.207265195328719,4.387932868096138
