year,imr_black,imr_white,total_difference,composition_effect,rate_effect,composition_pct,rate_pct,imr_black_lo,imr_black_hi,imr_white_lo,imr_white_hi,total_difference_lo,total_difference_hi,composition_effect_lo,composition_effect_hi,rate_effect_lo,rate_effect_hi,composition_pct_lo,composition_pct_hi,rate_pct_lo,rate_pct_hi
2003,13.244020954328418,5.553510596553125,7.690510357775293,4.972221717520302,2.718288640254991,64.65398895787541,35.346011042124594,12.947088915357021,13.526986954490038,5.461465737869438,5.646423598209542,7.378381629018203,7.996658508739544,4.885815566343396,5.058454761448335,2.436173671746224,2.996169277777482,62.45302851936481,67.05342925507857,32.946570744921424,37.54697148063519
2004,13.297886286292583,5.512648199317139,7.785238086975443,4.9182079454408685,2.867030141534576,63.17350722605308,36.82649277394693,13.004067321423264,13.582834749991697,5.419578655173609,5.61008380646976,7.489504835625058,8.096964905672225,4.827034128931006,5.009866600514247,2.6006033121602856,3.1370941677794812,61.075107662508046,65.41730168945779,34.58269831054222,38.92489233749194
2005,13.232926135331795,5.6120230519817325,7.620903083350062,5.141043144888144,2.4798599384619164,67.45976282155002,32.540237178449956,12.93712673756743,13.542518839321387,5.517930177480835,5.711369059049183,7.318185706703849,7.9305453264314005,5.048721566700872,5.235378401263163,2.197092956916571,2.7496686631261613,65.23316338547386,70.12232145142464,29.877678548575386,34.76683661452614
2006,13.0032953668711,5.438244980735192,7.565050386135908,4.80421616888873,2.76083421724718,63.50540873717348,36.49459126282653,12.681196139713094,13.29593081037256,5.340123441188953,5.5371617764584995,7.23440118500535,7.8786414386911305,4.717301267257332,4.894221674476961,2.4719107834756437,3.049159368929079,61.21258133584808,65.93741566853106,34.06258433146895,38.787418664151936
2007,12.9867836600898,5.484368528356041,7.50241513173376,4.898122448969345,2.604292682764413,65.28727567008707,34.712724329912916,12.697791604662402,13.267789405417206,5.390003403011773,5.576951744597665,7.197937958689405,7.803624329272718,4.806309778781291,4.988916207494713,2.330209306683665,2.8649830585567386,63.20059416122331,67.7185619929708,32.28143800702917,36.799405838776714
2008,12.373998449211685,5.3812612054273,6.992737243784385,4.464646089405449,2.5280911543789344,63.84690191775656,36.15309808224343,12.092796911346603,12.66319623933833,5.286493724960712,5.479094269461475,6.688877516439002,7.293764934348248,4.384135894903434,4.541981709978071,2.2606198969119298,2.7991153966816964,61.508284831200875,66.31560287420349,33.684397125796465,38.49171516879914
2009,12.083305828767575,5.1962286286157315,6.887077200151843,4.417371518238109,2.4697056819137355,64.140002933911,35.859997066089,11.820871014588421,12.368844478183377,5.099122575013917,5.287868071865285,6.611464408963209,7.183320405720885,4.330918535332155,4.499974970640348,2.21148819798496,2.7336580670673234,61.88473364140762,66.64108478574526,33.35891521425474,38.115266358592365
2010,11.206593639021463,5.067449986774513,6.1391436522469505,4.086083320633887,2.0530603316130622,66.55787113139736,33.44212886860261,10.94045836161989,11.501683547628875,4.971843632971836,5.16167578529233,5.874612838350662,6.444284627978284,4.008341462964952,4.172438236444251,1.8017169685490566,2.3316499377381263,63.7415922265227,69.32160924705681,30.678390752943173,36.25840777347731
2011,11.184318466387463,4.953208012292073,6.23111045409539,4.105822126170241,2.1252883279251487,65.8923021252447,34.1076978747553,10.921765036051985,11.438582099218513,4.860612995145454,5.048129302436064,5.972099123807059,6.516979168045389,4.019681440548104,4.1805741376467225,1.8809433262493733,2.396233074140852,63.17925328084756,68.50353683833053,31.496463161669467,36.82074671915244
2012,10.917655497277485,4.945248198137197,5.972407299140288,3.9658318890826796,2.0065754100576068,66.40256918937109,33.59743081062887,10.63311884243885,11.202192152116114,4.853521061857687,5.03556469026016,5.671595940357931,6.259593653054333,3.88503435943552,4.055023772089217,1.7426556313912134,2.2733095562347323,63.65653594032108,69.34461353717906,30.655386462820907,36.3434640596789
2013,10.876808138063318,4.940532633059294,5.936275505004024,3.987737613696721,1.9485378913073022,67.1757503561826,32.82424964381739,10.618533447433352,11.143735030829388,4.849078816647468,5.0366993490543095,5.677649905689977,6.232905363465651,3.902774103357895,4.065617288280641,1.7117970254540433,2.2145641783302006,64.34662092431029,69.99938201621062,30.0006179837894,35.65337907568971
2014,10.980794173951068,4.872374911944295,6.108419262006773,4.084354567212354,2.024064694794417,66.86434561910765,33.13565438089231,10.692311790620854,11.267439382415297,4.782201953159995,4.9771361127034695,5.806753316147173,6.409858133379048,3.999502704053502,4.171743972562574,1.7468473006597267,2.3015597693983514,63.97632682368909,70.0414503443744,29.9585496556256,36.023673176310886
2015,11.131151485329422,4.823397864550218,6.307753620779204,4.010834804194763,2.2969188165844403,63.58578735513928,36.41421264486071,10.8452746425748,11.40251061466461,4.729353786489126,4.9184285467199675,6.015506984623543,6.59550894570027,3.918648582013143,4.094948549416921,2.032719289001344,2.5754428562651506,60.906464664792466,66.28293271227689,33.71706728772311,39.093535335207505
2016,11.114971101075135,4.764392537510192,6.350578563564943,4.029025147030978,2.3215534165339657,63.44343443204734,36.55656556795268,10.843171807753302,11.388570389716987,4.673564896416696,4.8606031902583355,6.079048175474299,6.6462176163973705,3.9504357677242257,4.116044115605002,2.0788798549933505,2.584553186288894,61.05780708728393,66.05838877947812,33.94161122052184,38.94219291271604
2017,10.764424705483835,4.597807679870085,6.16661702561375,3.8989566285881687,2.267660397025581,63.22683267654544,36.773167323454565,10.51166862921163,10.999213189735979,4.497545451706396,4.6895195371567135,5.888183030654623,6.4302108665651705,3.8172179154549744,3.9774712948458997,2.002212087744264,2.5219478145942884,60.72441832677543,66.0600556101314,33.93994438986861,39.27558167322459
2018,10.548273596187697,4.541971302743032,6.006302293444665,3.9450697108429877,2.0612325826016757,65.68217046199413,34.317829538005846,10.278833009634512,10.819534419772143,4.44860570970161,4.640979096160533,5.720045039511273,6.292907334791955,3.8582015946819492,4.037107962914522,1.7945854325963981,2.3137967563939252,62.95877543502786,68.67468129131453,31.325318708685483,37.041224564972126
2019,10.425415641241003,4.397446610105116,6.0279690311358864,3.8636913316028014,2.164277699533084,64.09607135746586,35.90392864253412,10.152126711436965,10.685867647652126,4.3067630256151,4.482315129385201,5.7368819695317015,6.316515546256285,3.7739167867959704,3.9530137839391206,1.9165839257465238,2.419605244251435,61.490795723581975,66.79092638616837,33.20907361383158,38.50920427641799
2020,10.221313155078592,4.312874491105853,5.908438663972739,3.6648899926587255,2.2435486713140116,62.028061914321576,37.97193808567838,9.955439476620192,10.477510075213079,4.22463804410434,4.407630336243063,5.631745661432183,6.185927043524931,3.5762202327468917,3.7524448881143457,1.9904953590322476,2.4992989028377837,59.50707818452471,64.86060572495924,35.13939427504077,40.49292181547528
2021,10.269628664191872,4.2568729709561035,6.012755693235769,3.490939021514239,2.5218166717215276,58.05888680029818,41.94111319970178,9.998002319636617,10.53344853936594,4.156935582972082,4.354671026475634,5.713469299215239,6.30289965183859,3.4081418747802914,3.5730355310869406,2.247928661003301,2.769388375998565,55.75916114137506,60.762882955866715,39.237117044133285,44.24083885862497
2022,10.63892479285919,4.406160231638138,6.232764561221051,3.525378598564014,2.707385962657038,56.56203702123095,43.43796297876906,10.336414745204037,10.913983035865119,4.3074916713489495,4.498275411990969,5.924685729580075,6.527735875775806,3.4404775366904237,3.6096441027983635,2.426543441216386,2.9764978560349333,54.24722904555008,59.23550586986789,40.76449413013213,45.75277095444991
2023,10.600295099790324,4.379537462921544,6.220757636868781,3.5659084048588023,2.654849232009978,57.32273483417211,42.67726516582788,10.320267061222987,10.892533811814618,4.288598778129815,4.478895097084518,5.91830005382871,6.524692967017448,3.4785075231493496,3.6494912346415243,2.3872126803135694,2.9303914891326923,54.904928688098636,59.923111623427076,40.07688837657294,45.095071311901386
2024,10.734124961777594,4.295622561415474,6.43850240036212,3.634057746867966,2.8044446534941576,56.44259364823062,43.55740635176944,10.436839601807495,11.027269561376688,4.209487845200033,4.3969219394111265,6.125307907554971,6.744596834901158,3.5449616344166532,3.7163389637883726,2.5141962494431835,3.0976402484745615,54.10932057939942,59.00414445822438,40.995855541775605,45.890679420600556
