year,race,gest_weeks,births,deaths
2019,Non-Hispanic White,32,9307,169
2019,Non-Hispanic White,33,14649,194
2019,Non-Hispanic White,34,26953,289
2019,Non-Hispanic White,35,41563,304
2019,Non-Hispanic White,36,80448,428
2019,Non-Hispanic White,37,181326,633
2019,Non-Hispanic White,38,295488,710
2019,Non-Hispanic White,39,609689,919
2019,Non-Hispanic White,40,371421,506
2019,Non-Hispanic White,41,156319,261
2019,Non-Hispanic White,42,48091,97
2019,Non-Hispanic White,43,23445,62
2019,Non-Hispanic White,44,12585,27
2019,Non-Hispanic White,45,6731,18
2019,Non-Hispanic White,46,4071,9
2019,Non-Hispanic White,47,2776,4
2020,Non-Hispanic Black,17,101,86
2020,Non-Hispanic Black,18,222,186
2020,Non-Hispanic Black,19,249,209
2020,Non-Hispanic Black,20,366,307
2020,Non-Hispanic Black,21,441,370
2020,Non-Hispanic Black,22,580,367
2020,Non-Hispanic Black,23,857,347
2020,Non-Hispanic Black,24,1037,270
2020,Non-Hispanic Black,25,1160,239
2020,Non-Hispanic Black,26,1279,175
2020,Non-Hispanic Black,27,1375,125
2020,Non-Hispanic Black,28,1613,109
2020,Non-Hispanic Black,29,1911,102
2020,Non-Hispanic Black,30,2574,83
2020,Non-Hispanic Black,31,3251,94
2020,Non-Hispanic Black,32,5006,97
2020,Non-Hispanic Black,33,7232,102
2020,Non-Hispanic Black,34,12356,135
2020,Non-Hispanic Black,35,17497,156
2020,Non-Hispanic Black,36,30501,210
2020,Non-Hispanic Black,37,64392,369
2020,Non-Hispanic Black,38,93539,354
2020,Non-Hispanic Black,39,147258,474
2020,Non-Hispanic Black,40,78698,225
2020,Non-Hispanic Black,41,29569,91
2020,Non-Hispanic Black,42,10797,47
2020,Non-Hispanic Black,43,6368,24
2020,Non-Hispanic Black,44,3299,16
2020,Non-Hispanic Black,45,1701,6
2020,Non-Hispanic Black,46,1044,9
2020,Non-Hispanic Black,47,763,3
2020,Non-Hispanic White,17,80,71
2020,Non-Hispanic White,18,91,79
2020,Non-Hispanic White,19,192,171
2020,Non-Hispanic White,20,278,239
2020,Non-Hispanic White,21,385,347
2020,Non-Hispanic White,22,505,403
2020,Non-Hispanic White,23,800,449
2020,Non-Hispanic White,24,960,345
2020,Non-Hispanic White,25,1198,289
2020,Non-Hispanic White,26,1413,237
2020,Non-Hispanic White,27,1840,212
2020,Non-Hispanic White,28,2273,184
2020,Non-Hispanic White,29,2811,139
2020,Non-Hispanic White,30,3909,150
2020,Non-Hispanic White,31,5542,176
2020,Non-Hispanic White,32,8772,161
2020,Non-Hispanic White,33,13638,216
2020,Non-Hispanic White,34,26193,257
2020,Non-Hispanic White,35,39272,249
2020,Non-Hispanic White,36,75726,412
2020,Non-Hispanic White,37,178374,651
2020,Non-Hispanic White,38,283511,648
2020,Non-Hispanic White,39,596054,920
2020,Non-Hispanic White,40,353606,475
2020,Non-Hispanic White,41,146511,226
2020,Non-Hispanic White,42,45650,105
2020,Non-Hispanic White,43,22531,56
2020,Non-Hispanic White,44,11852,26
2020,Non-Hispanic White,45,6401,12
2020,Non-Hispanic White,46,3872,13
2020,Non-Hispanic White,47,2586,4
2021,Non-Hispanic Black,17,95,78
2021,Non-Hispanic Black,18,158,121
2021,Non-Hispanic Black,19,248,199
2021,Non-Hispanic Black,20,266,217
2021,Non-Hispanic Black,21,456,361
2021,Non-Hispanic Black,22,533,340
2021,Non-Hispanic Black,23,893,366
2021,Non-Hispanic Black,24,954,289
2021,Non-Hispanic Black,25,1096,226
2021,Non-Hispanic Black,26,1327,167
2021,Non-Hispanic Black,27,1384,116
2021,Non-Hispanic Black,28,1615,122
2021,Non-Hispanic Black,29,1988,115
2021,Non-Hispanic Black,30,2621,91
2021,Non-Hispanic Black,31,3299,83
2021,Non-Hispanic Black,32,4776,108
2021,Non-Hispanic Black,33,7283,103
2021,Non-Hispanic Black,34,12199,152
2021,Non-Hispanic Black,35,17381,159
2021,Non-Hispanic Black,36,30374,234
2021,Non-Hispanic Black,37,65390,379
2021,Non-Hispanic Black,38,92597,363
2021,Non-Hispanic Black,39,142251,465
2021,Non-Hispanic Black,40,74943,238
2021,Non-Hispanic Black,41,27862,108
2021,Non-Hispanic Black,42,10567,45
2021,Non-Hispanic Black,43,6148,20
2021,Non-Hispanic Black,44,3287,16
2021,Non-Hispanic Black,45,1707,7
2021,Non-Hispanic Black,46,1052,5
2021,Non-Hispanic Black,47,848,2
2021,Non-Hispanic White,17,67,59
2021,Non-Hispanic White,18,123,111
2021,Non-Hispanic White,19,198,172
2021,Non-Hispanic White,20,261,236
2021,Non-Hispanic White,21,353,293
2021,Non-Hispanic White,22,520,393
2021,Non-Hispanic White,23,791,407
2021,Non-Hispanic White,24,1044,351
2021,Non-Hispanic White,25,1275,308
2021,Non-Hispanic White,26,1507,223
2021,Non-Hispanic White,27,1931,201
2021,Non-Hispanic White,28,2359,171
2021,Non-Hispanic White,29,2949,151
2021,Non-Hispanic White,30,4339,183
2021,Non-Hispanic White,31,5744,139
2021,Non-Hispanic White,32,9308,177
2021,Non-Hispanic White,33,14632,194
2021,Non-Hispanic White,34,27848,286
2021,Non-Hispanic White,35,41263,336
2021,Non-Hispanic White,36,80268,418
2021,Non-Hispanic White,37,193205,699
2021,Non-Hispanic White,38,298436,663
2021,Non-Hispanic White,39,609587,913
2021,Non-Hispanic White,40,349503,469
2021,Non-Hispanic White,41,142772,243
2021,Non-Hispanic White,42,44766,108
2021,Non-Hispanic White,43,22029,41
2021,Non-Hispanic White,44,11673,29
2021,Non-Hispanic White,45,6230,20
2021,Non-Hispanic White,46,3761,8
2021,Non-Hispanic White,47,2686,7
2022,Non-Hispanic Black,17,94,80
2022,Non-Hispanic Black,18,129,111
2022,Non-Hispanic Black,19,235,191
2022,Non-Hispanic Black,20,318,254
2022,Non-Hispanic Black,21,405,324
2022,Non-Hispanic Black,22,569,320
2022,Non-Hispanic Black,23,821,366
2022,Non-Hispanic Black,24,969,283
2022,Non-Hispanic Black,25,1132,237
2022,Non-Hispanic Black,26,1312,191
2022,Non-Hispanic Black,27,1392,152
2022,Non-Hispanic Black,28,1552,104
2022,Non-Hispanic Black,29,1836,105
2022,Non-Hispanic Black,30,2490,104
2022,Non-Hispanic Black,31,3115,96
2022,Non-Hispanic Black,32,4838,111
2022,Non-Hispanic Black,33,6929,102
2022,Non-Hispanic Black,34,12053,157
2022,Non-Hispanic Black,35,16594,154
2022,Non-Hispanic Black,36,29634,259
2022,Non-Hispanic Black,37,65457,393
2022,Non-Hispanic Black,38,91130,398
2022,Non-Hispanic Black,39,137629,487
2022,Non-Hispanic Black,40,74358,235
2022,Non-Hispanic Black,41,28529,99
2022,Non-Hispanic Black,42,11382,35
2022,Non-Hispanic Black,43,6781,27
2022,Non-Hispanic Black,44,3694,16
2022,Non-Hispanic Black,45,1831,10
2022,Non-Hispanic Black,46,1100,11
2022,Non-Hispanic Black,47,766,4
2022,Non-Hispanic White,17,65,58
2022,Non-Hispanic White,18,105,103
2022,Non-Hispanic White,19,168,140
2022,Non-Hispanic White,20,291,262
2022,Non-Hispanic White,21,345,292
2022,Non-Hispanic White,22,510,390
2022,Non-Hispanic White,23,762,420
2022,Non-Hispanic White,24,958,349
2022,Non-Hispanic White,25,1141,279
2022,Non-Hispanic White,26,1500,219
2022,Non-Hispanic White,27,1850,220
2022,Non-Hispanic White,28,2267,177
2022,Non-Hispanic White,29,2913,163
2022,Non-Hispanic White,30,4069,151
2022,Non-Hispanic White,31,5744,179
2022,Non-Hispanic White,32,9120,177
2022,Non-Hispanic White,33,14169,210
2022,Non-Hispanic White,34,26933,282
2022,Non-Hispanic White,35,40571,305
2022,Non-Hispanic White,36,77638,415
2022,Non-Hispanic White,37,192787,697
2022,Non-Hispanic White,38,290551,710
2022,Non-Hispanic White,39,583471,939
2022,Non-Hispanic White,40,340716,506
2022,Non-Hispanic White,41,141691,217
2022,Non-Hispanic White,42,45690,88
2022,Non-Hispanic White,43,23064,51
2022,Non-Hispanic White,44,12469,40
2022,Non-Hispanic White,45,6715,25
2022,Non-Hispanic White,46,3951,15
2022,Non-Hispanic White,47,2707,6
2023,Non-Hispanic Black,17,93,81
2023,Non-Hispanic Black,18,143,113
2023,Non-Hispanic Black,19,237,186
2023,Non-Hispanic Black,20,325,269
2023,Non-Hispanic Black,21,420,337
2023,Non-Hispanic Black,22,565,342
2023,Non-Hispanic Black,23,754,299
2023,Non-Hispanic Black,24,907,256
2023,Non-Hispanic Black,25,1041,238
2023,Non-Hispanic Black,26,1130,156
2023,Non-Hispanic Black,27,1329,124
2023,Non-Hispanic Black,28,1562,117
2023,Non-Hispanic Black,29,1775,98
2023,Non-Hispanic Black,30,2439,86
2023,Non-Hispanic Black,31,3081,106
2023,Non-Hispanic Black,32,4790,96
2023,Non-Hispanic Black,33,6754,109
2023,Non-Hispanic Black,34,11611,124
2023,Non-Hispanic Black,35,16025,170
2023,Non-Hispanic Black,36,29073,248
2023,Non-Hispanic Black,37,65193,393
2023,Non-Hispanic Black,38,87521,359
2023,Non-Hispanic Black,39,131799,487
2023,Non-Hispanic Black,40,70010,201
2023,Non-Hispanic Black,41,26144,90
2023,Non-Hispanic Black,42,10621,39
2023,Non-Hispanic Black,43,6518,23
2023,Non-Hispanic Black,44,3627,14
2023,Non-Hispanic Black,45,1806,11
2023,Non-Hispanic Black,46,1167,13
2023,Non-Hispanic Black,47,866,2
2023,Non-Hispanic White,17,91,75
2023,Non-Hispanic White,18,109,98
2023,Non-Hispanic White,19,153,134
2023,Non-Hispanic White,20,257,230
2023,Non-Hispanic White,21,369,318
2023,Non-Hispanic White,22,522,390
2023,Non-Hispanic White,23,681,366
2023,Non-Hispanic White,24,1003,364
2023,Non-Hispanic White,25,1205,296
2023,Non-Hispanic White,26,1372,222
2023,Non-Hispanic White,27,1796,196
2023,Non-Hispanic White,28,2156,157
2023,Non-Hispanic White,29,2840,139
2023,Non-Hispanic White,30,3922,145
2023,Non-Hispanic White,31,5471,158
2023,Non-Hispanic White,32,8697,165
2023,Non-Hispanic White,33,13704,209
2023,Non-Hispanic White,34,26390,247
2023,Non-Hispanic White,35,38902,294
2023,Non-Hispanic White,36,75737,469
2023,Non-Hispanic White,37,193178,692
2023,Non-Hispanic White,38,282650,667
2023,Non-Hispanic White,39,565164,869
2023,Non-Hispanic White,40,328216,450
2023,Non-Hispanic White,41,135685,232
2023,Non-Hispanic White,42,43945,103
2023,Non-Hispanic White,43,22270,51
2023,Non-Hispanic White,44,12247,32
2023,Non-Hispanic White,45,6544,19
2023,Non-Hispanic White,46,3737,7
2023,Non-Hispanic White,47,2682,9
2024,Non-Hispanic Black,17,95,79
2024,Non-Hispanic Black,18,157,129
2024,Non-Hispanic Black,19,181,152
2024,Non-Hispanic Black,20,336,290
2024,Non-Hispanic Black,21,435,335
2024,Non-Hispanic Black,22,564,355
2024,Non-Hispanic Black,23,787,324
2024,Non-Hispanic Black,24,876,252
2024,Non-Hispanic Black,25,974,183
2024,Non-Hispanic Black,26,1076,152
2024,Non-Hispanic Black,27,1168,113
2024,Non-Hispanic Black,28,1458,107
2024,Non-Hispanic Black,29,1775,86
2024,Non-Hispanic Black,30,2214,99
2024,Non-Hispanic Black,31,2910,79
2024,Non-Hispanic Black,32,4429,89
2024,Non-Hispanic Black,33,6312,114
2024,Non-Hispanic Black,34,11024,150
2024,Non-Hispanic Black,35,15546,164
2024,Non-Hispanic Black,36,27770,203
2024,Non-Hispanic Black,37,63418,392
2024,Non-Hispanic Black,38,83748,347
2024,Non-Hispanic Black,39,126988,446
2024,Non-Hispanic Black,40,67679,227
2024,Non-Hispanic Black,41,25318,95
2024,Non-Hispanic Black,42,10323,36
2024,Non-Hispanic Black,43,6344,29
2024,Non-Hispanic Black,44,3407,12
2024,Non-Hispanic Black,45,1770,9
2024,Non-Hispanic Black,46,1024,3
2024,Non-Hispanic Black,47,822,4
2024,Non-Hispanic White,17,85,74
2024,Non-Hispanic White,18,81,72
2024,Non-Hispanic White,19,178,158
2024,Non-Hispanic White,20,268,234
2024,Non-Hispanic White,21,330,286
2024,Non-Hispanic White,22,515,387
2024,Non-Hispanic White,23,776,418
2024,Non-Hispanic White,24,958,342
2024,Non-Hispanic White,25,1199,296
2024,Non-Hispanic White,26,1305,229
2024,Non-Hispanic White,27,1669,187
2024,Non-Hispanic White,28,2058,159
2024,Non-Hispanic White,29,2713,159
2024,Non-Hispanic White,30,3723,180
2024,Non-Hispanic White,31,5417,125
2024,Non-Hispanic White,32,8473,163
2024,Non-Hispanic White,33,13501,173
2024,Non-Hispanic White,34,26455,282
2024,Non-Hispanic White,35,38832,268
2024,Non-Hispanic White,36,75292,409
2024,Non-Hispanic White,37,196318,663
2024,Non-Hispanic White,38,280745,644
2024,Non-Hispanic White,39,561607,810
2024,Non-Hispanic White,40,327871,469
2024,Non-Hispanic White,41,134503,225
2024,Non-Hispanic White,42,44235,110
2024,Non-Hispanic White,43,22831,52
2024,Non-Hispanic White,44,12218,33
2024,Non-Hispanic White,45,6431,13
2024,Non-Hispanic White,46,3865,6
2024,Non-Hispanic White,47,2706,8
