year,cause_of_death,composition_effect,rate_effect,gap,composition_pct,rate_pct,csimr_black,csimr_white,composition_lo,composition_hi,rate_lo,rate_hi,gap_lo,gap_hi
2003,Infection,0.3930850373795756,0.16959417486759853,0.5626792122471742,69.85952720906648,30.140472790933504,0.8309353908207112,0.2682561785735369,0.3651390092050839,0.4217132558854571,0.10435601296085832,0.23056096296221457,0.4883853797050129,0.6359171705388591
2003,Other,1.3106223081198252,0.30611789245429527,1.6167402005741205,81.0657338547288,18.93426614527119,2.707127774322867,1.0903875737487456,1.2576737281264847,1.3602573669617704,0.1823388693481256,0.4169074907511451,1.4842923020806371,1.7480306557815775
2003,Circulatory diseases,0.07485386295881503,0.10613717079210405,0.18099103375091907,41.35777414356855,58.642225856431466,0.2968881206103598,0.11589708685944071,0.0631638397768794,0.08547550897670719,0.06137498017308061,0.15265210671888516,0.13320641511624182,0.23269519239964215
2003,Maternal complications,0.658071758096432,-0.07756402405607325,0.5805077340403588,113.36141096970825,-13.361410969708242,0.9082317062458936,0.32772397220553456,0.6186889559405141,0.6967593171483032,-0.15485300426843093,-0.012322206619697917,0.49515411506049595,0.6635857500023276
2003,Placenta/cord/membranes,0.3734782602353173,-0.11036873843086865,0.2631095218044487,141.94783133424497,-41.94783133424498,0.49012890917331586,0.227019387368867,0.3453426756589953,0.39946726634642915,-0.16602505063768674,-0.055676871928455926,0.20347040784982795,0.3189494633126464
2003,Short gestation/LBW,1.8950578028219858,0.3699388357919518,2.2649966386139377,83.66713532880404,16.332864671195956,3.0215832393480406,0.7565866007341018,1.8334213767897702,1.9574010895418223,0.25559488001524133,0.49222305095050217,2.1204694918394624,2.419071986683398
2003,Hypoxia and birth asphyxia,0.07936330920483946,0.009986601574832324,0.08934991077967178,88.82304247683211,11.176957523167893,0.21783507074369596,0.12848515996402415,0.06644181586422541,0.09242233074321067,-0.025393704253151555,0.04831490945058094,0.051188363103953444,0.13191863093110986
2003,Respiratory distress,0.3087752660683604,-0.02844137121155465,0.28033389485680577,110.14553421236575,-10.145534212365746,0.44094034481183614,0.1606064499550302,0.2843051487210906,0.3350634799013209,-0.07741264040963414,0.020748938756245852,0.2268781138906068,0.3391848476266766
2003,Hemorrhage,0.21593694617764114,-0.1197896841581923,0.09614726201944884,224.5898028109849,-124.5898028109849,0.24242935292443582,0.14628209090498695,0.1957526061937103,0.23627155512907863,-0.1593228832250362,-0.07881039932773219,0.05327954678213631,0.1364796783393924
2003,Necrotizing enterocolitis,0.12379375939510102,0.07894639873601929,0.2027401581311203,61.06030523811595,38.93969476188405,0.26351016622221285,0.0607700080910925,0.10865632024980446,0.1391466949891093,0.04231459283339111,0.11481037467519084,0.16069866644969336,0.24572199006050116
