year,imr_black,imr_white,total_difference,composition_effect,rate_effect,composition_pct,rate_pct,imr_black_lo,imr_black_hi,imr_white_lo,imr_white_hi,total_difference_lo,total_difference_hi,composition_effect_lo,composition_effect_hi,rate_effect_lo,rate_effect_hi,composition_pct_lo,composition_pct_hi,rate_pct_lo,rate_pct_hi
2003,13.244020954328416,5.553510596553126,7.69051035777529,6.122829606389134,1.5676807513861586,79.61538729609546,20.38461270390457,12.945288262554502,13.535726708336405,5.458438089252042,5.657264533581507,7.369277025497103,7.999631114902734,6.0214203366375,6.231374545539326,1.2883892131254364,1.856426563836274,76.70062370614167,82.62808468853699,17.371915311462992,23.299376293858383
2004,13.297886286292584,5.512648199317138,7.785238086975446,6.0664083263265285,1.7188297606489198,77.92193711423565,22.078062885764393,12.969284469544032,13.593278344965485,5.412579790349991,5.611378267361902,7.455714580208684,8.08887259592421,5.953755176287246,6.173132825852268,1.4324036272269667,2.0078913942790444,75.14963183844463,80.85360113446588,19.14639886553407,24.8503681615554
2005,13.232926135331791,5.612023051981735,7.620903083350056,6.339697673837966,1.2812054095120926,83.18827315477567,16.811726845224364,12.956108748328806,13.51346209391901,5.517985357444771,5.710938655330496,7.320020758259088,7.926222679140082,6.225213650491886,6.456904620703268,1.005961431302566,1.5573444224481052,80.30792975567348,86.36217972183472,13.637820278165254,19.692070244326487
2006,13.0032953668711,5.438244980735193,7.5650503861359075,5.922015047327966,1.6430353388079448,78.28123733558931,21.718762664410722,12.723655045703598,13.300834630121221,5.344982129613249,5.534993886331966,7.282502218761605,7.870193162735513,5.814333353270313,6.027608736468631,1.3869047590341277,1.9098938527836777,75.60891323398081,81.06181271281672,18.938187287183215,24.391086766019214
2007,12.986783660089795,5.484368528356039,7.502415131733756,5.974377755606487,1.5280373761272705,79.63272693797003,20.36727306202998,12.712199068611634,13.250291761178024,5.386146221722515,5.586513208075264,7.197678599765874,7.795762781420272,5.872634934303013,6.07602745175196,1.2470266360535558,1.7990176894618934,76.909306936209,82.70338256026531,17.296617439734725,23.090693063791075
2008,12.373998449211687,5.381261205427301,6.9927372437843855,5.531202524559753,1.4615347192246277,79.09924728655088,20.900752713449055,12.108991341431892,12.65192879296976,5.286504792049403,5.473782066889484,6.709818562296389,7.2828222461766625,5.425901881186137,5.636561522291602,1.2073809087781229,1.734011873359162,76.13050069777158,82.07320186651289,17.926798133487083,23.869499302228395
2009,12.083305828767575,5.1962286286157315,6.887077200151843,5.445917309413594,1.4411598907382497,79.07443391651722,20.92556608348278,11.804368275133669,12.370577265826128,5.100937217454501,5.292427360997254,6.595358112776826,7.18977096766858,5.341770895486452,5.545973196454802,1.1790354350698822,1.718274664653668,76.02749079029078,82.229181998526,17.770818001473977,23.97250920970918
2010,11.206593639021461,5.067449986774513,6.139143652246949,4.991447393392938,1.1476962588540123,81.3052711605152,18.694728839484824,10.947281249680175,11.467611750377817,4.972319286473342,5.159332321699544,5.859427883259433,6.429605168905216,4.896283358052808,5.087872268068473,0.8849254596389335,1.4172578644318075,77.87245348945065,84.9094053617542,15.09059463824583,22.12754651054935
2011,11.18431846638746,4.953208012292072,6.231110454095387,5.108423834592864,1.1226866195025245,81.98255948480838,18.017440515191645,10.899313501144167,11.453952765424637,4.858730935082255,5.053272820621205,5.939954759066752,6.512568672276263,5.010022113612109,5.2099962438539915,0.857740494023544,1.3857590799776056,78.64426293839382,85.63871541418185,14.361284585818176,21.3557370616062
2012,10.917655497277485,4.945248198137198,5.972407299140287,4.905524776693286,1.0668825224469998,82.13647413831644,17.863525861683527,10.646912469093651,11.18322591546576,4.852615898523902,5.0350592094373985,5.669721515966456,6.2508211404782434,4.810599363091981,5.010136353644076,0.7965698095980943,1.3081573554871482,78.8747033909948,86.04070163951519,13.959298360484782,21.125296609005193
