year,imr_black,imr_white,total_difference,composition_effect,rate_effect,composition_pct,rate_pct,imr_black_lo,imr_black_hi,imr_white_lo,imr_white_hi,total_difference_lo,total_difference_hi,composition_effect_lo,composition_effect_hi,rate_effect_lo,rate_effect_hi,composition_pct_lo,composition_pct_hi,rate_pct_lo,rate_pct_hi
2003,13.244020954328414,5.553510596553125,7.690510357775289,6.06924343598616,1.6212669217891293,78.91860427507272,21.08139572492728,12.927720918139686,13.53045650501196,5.456712655093742,5.654670956450476,7.3530551342049675,8.007932248509437,5.954142213734739,6.175102911524698,1.3260018738676957,1.918174544613928,75.9956380363745,81.95881779062145,18.041182209378537,24.0043619636255
2004,13.297886286292583,5.512648199317136,7.785238086975447,6.008724394576002,1.776513692399445,77.18099725978172,22.819002740218288,13.018225165655513,13.6108445591055,5.418284194281463,5.605267973150684,7.477043601912161,8.110394607031413,5.906997975649787,6.1206824602146215,1.4933109803607922,2.066949244955777,74.41169960593412,79.97122586601783,20.028774133982175,25.58830039406591
2005,13.232926135331795,5.612023051981732,7.620903083350063,6.277089006157841,1.3438140771922196,82.36673446053723,17.633265539462734,12.93198127223576,13.542562078525854,5.511794165491331,5.707848577350167,7.303326584261057,7.944781195343115,6.161623564824143,6.3868682449707235,1.0535891852725272,1.6477535668948762,79.13241227058897,85.60189489605946,14.398105103940514,20.867587729411024
2006,13.003295366871098,5.438244980735191,7.5650503861359075,5.869069673085525,1.695980713050384,77.58136923769176,22.418630762308254,12.722102169449856,13.282935688038602,5.342781557726011,5.532368451555607,7.253496149386966,7.854136475361701,5.758524018893934,5.973807856178888,1.4225662775632806,1.9795278231988522,74.77813739218388,80.38660092084169,19.613399079158327,25.22186260781611
2007,12.986783660089799,5.484368528356041,7.502415131733758,5.91012392309891,1.5922912086348493,78.77628496056201,21.223715039437995,12.71528924890158,13.27413029484333,5.394392983971945,5.573931191362695,7.212865207618472,7.820178476773989,5.805994590814895,6.012903860620518,1.3164751649336492,1.8858063644987155,75.84006855238474,81.74301626978287,18.25698373021713,24.15993144761528
2008,12.373998449211685,5.3812612054273,6.992737243784385,5.478835734974143,1.5139015088102394,78.35037330830785,21.649626691692113,12.105841302662185,12.653503812354613,5.280749905929745,5.477334602359502,6.709276073646192,7.281342529542934,5.381889406803379,5.581950626276762,1.2443488761828612,1.7852565468025359,75.38594054299567,81.43762462900098,18.562375370999003,24.614059457004316
2009,12.083305828767575,5.1962286286157315,6.887077200151843,5.394171525775264,1.492905674376581,78.32308785004379,21.67691214995624,11.800902699848175,12.359396659845533,5.107753468121948,5.291055037651561,6.571475521704925,7.182804942200213,5.287278231333193,5.502676867799778,1.2177513676138205,1.7492170927179531,75.55416518736503,81.64025054307382,18.359749456926192,24.445834812634995
2010,11.206593639021458,5.067449986774509,6.139143652246949,4.947312718388359,1.191830933858592,80.5863651126265,19.413634887373544,10.940458361619887,11.472686273372654,4.968606868900611,5.158879870807866,5.858790151813484,6.414857592123902,4.848291934032087,5.044119266841823,0.9427360494887765,1.4547402129139622,77.31847505945395,84.10469277642053,15.895307223579486,22.68152494054607
2011,11.18431846638746,4.9532080122920705,6.231110454095389,5.069524606020556,1.1615858480748316,81.35828506600485,18.641714933995125,10.90440827252709,11.474504555071023,4.863418550519166,5.042518191688633,5.9270985976554975,6.543894329944234,4.9653885439166645,5.167973702473915,0.8906241513926293,1.4500659242600218,77.83838953251046,85.07567957846454,14.924320421535441,22.16161046748951
2012,10.917655497277485,4.945248198137194,5.972407299140291,4.871559712541049,1.1008475865992393,81.56777440886015,18.432225591139822,10.634886150853998,11.169475393894249,4.8493126401239826,5.033695586752732,5.67214896984003,6.2489227525898485,4.776733405030575,4.970015190101207,0.8382654083850886,1.3724125836705485,77.93865578897052,85.25812697461176,14.74187302538823,22.061344211029457
2013,10.876808138063316,4.940532633059292,5.936275505004024,4.911490914861139,1.0247845901428834,82.7369098809677,17.26309011903228,10.621977109975084,11.128238549391588,4.845779786939233,5.033871609304392,5.674392921673074,6.2313517284509885,4.806498242380521,5.007654943806913,0.789371579971806,1.3043406063819627,79.07514711214496,86.20933377857754,13.790666221422445,20.924852887855046
2014,10.980794173951061,4.872374911944294,6.108419262006767,4.915330430742249,1.1930888312645194,80.46812472933368,19.531875270666347,10.705172014682699,11.278508360982812,4.771995079160795,4.96393081648628,5.817943327658081,6.423754933930454,4.813282869598159,5.013486925376506,0.9327443266288576,1.4929625447813666,76.7619317669976,84.14017471755102,15.85982528244897,23.2380682330024
2015,11.131151485329418,4.823397864550216,6.307753620779202,4.9762369134213555,1.3315167073578462,78.89079397502906,21.109206024970945,10.865219538580932,11.411601145497334,4.724445126541109,4.914993702786119,6.027142704411329,6.622170196176589,4.8765910602672244,5.080868789985791,1.0767711416452488,1.6159836171063469,75.53299413734415,82.20205191169303,17.797948088306974,24.467005862655846
2016,11.114971101075138,4.764392537510192,6.350578563564946,4.967786526902921,1.3827920366620245,78.22573135941515,21.77426864058483,10.848571793713335,11.390460384803,4.669658856213776,4.862055748958795,6.0419690013990754,6.635608469349418,4.868355081241424,5.076122952827067,1.0909093511176675,1.6415572613665987,75.15209262680021,82.03383394903354,17.966166050966486,24.84790737319978
2017,10.764424705483835,4.597807679870083,6.166617025613752,4.7875679497852355,1.3790490758285137,77.63686199255642,22.36313800744355,10.488413815599632,11.015388503250295,4.502103970495049,4.699555834047752,5.870289532778582,6.4585102235648995,4.682306449936413,4.889277226201607,1.1112794397030021,1.6356886601736442,74.54526284809813,81.18708136886009,18.812918631139922,25.45473715190188
