year,race,gestational_age_group,births,deaths,mortality_rate,birth_proportion
2003,Non-Hispanic Black,<28 weeks,9815,4301,438.20682628629646,0.017242348543140128
2003,Non-Hispanic Black,28-31 weeks,10951,627,57.25504520135147,0.01923799886866302
2003,Non-Hispanic Black,32-33 weeks,13355,233,17.44664919505803,0.023461188465984353
2003,Non-Hispanic Black,34-36 weeks,65086,530,8.143072242878652,0.11433881785825964
2003,Non-Hispanic Black,37-38 weeks,158479,719,4.536878703172029,0.2784055175515338
2003,Non-Hispanic Black,39-41 weeks,276883,967,3.492449879552013,0.48640990236069975
2003,Non-Hispanic Black,42+ weeks,34669,162,4.672762410222389,0.06090422635171932
2003,Non-Hispanic White,<28 weeks,11964,5228,436.97759946506187,0.00519323126287022
2003,Non-Hispanic White,28-31 weeks,21028,1116,53.07209435038995,0.009127655215282094
2003,Non-Hispanic White,32-33 weeks,30703,514,16.741035078005407,0.013327296845862951
2003,Non-Hispanic White,34-36 weeks,191224,1304,6.819227712002677,0.08300488590865053
2003,Non-Hispanic White,37-38 weeks,629807,1809,2.8723085008581997,0.27338126061304785
2003,Non-Hispanic White,39-41 weeks,1274917,2448,1.9201249963723128,0.5534051171819384
2003,Non-Hispanic White,42+ weeks,144125,375,2.6019080659150045,0.06256055297234792
2004,Non-Hispanic Black,<28 weeks,9830,4352,442.7263479145473,0.017181680099139868
2004,Non-Hispanic Black,28-31 weeks,11325,618,54.569536423841065,0.019794763695092473
2004,Non-Hispanic Black,32-33 weeks,13544,242,17.867690490253985,0.02367331386192781
2004,Non-Hispanic Black,34-36 weeks,65414,594,9.080624942672822,0.1143359534084573
2004,Non-Hispanic Black,37-38 weeks,160824,734,4.563995423568621,0.28110137540834895
2004,Non-Hispanic Black,39-41 weeks,277627,928,3.342614371080623,0.48525923711942054
2004,Non-Hispanic Black,42+ weeks,33557,140,4.172005840808177,0.05865367640761308
2004,Non-Hispanic White,<28 weeks,11860,5082,428.4991568296796,0.005204171586715057
2004,Non-Hispanic White,28-31 weeks,21339,1034,48.45587890716528,0.009363559653365314
2004,Non-Hispanic White,32-33 weeks,30923,495,16.00750250622514,0.013569021751769791
2004,Non-Hispanic White,34-36 weeks,192396,1341,6.96999937628641,0.08442342298462312
2004,Non-Hispanic White,37-38 weeks,624685,1843,2.9502869446200886,0.2741119669179676
2004,Non-Hispanic White,39-41 weeks,1259282,2390,1.8979069025047606,0.5525733224335339
2004,Non-Hispanic White,42+ weeks,138456,378,2.730109204368175,0.060754534672025295
2005,Non-Hispanic Black,<28 weeks,10402,4418,424.7260142280331,0.01799096819497076
2005,Non-Hispanic Black,28-31 weeks,11671,629,53.89426784337247,0.02018579021375733
2005,Non-Hispanic Black,32-33 weeks,13826,244,17.647909735281353,0.02391300963888346
2005,Non-Hispanic Black,34-36 weeks,68401,589,8.610985219514335,0.11830419299213565
2005,Non-Hispanic Black,37-38 weeks,168260,726,4.314750980625223,0.2910171417502192
2005,Non-Hispanic Black,39-41 weeks,274591,912,3.3213033202107862,0.47492385576093216
2005,Non-Hispanic Black,42+ weeks,31028,133,4.286450947531263,0.053665041449101406
2005,Non-Hispanic White,<28 weeks,11910,5136,431.2342569269522,0.005257546963667305
2005,Non-Hispanic White,28-31 weeks,21170,1080,51.01558809636278,0.009345278691925847
2005,Non-Hispanic White,32-33 weeks,30979,542,17.495722909067435,0.013675360821784168
2005,Non-Hispanic White,34-36 weeks,195244,1356,6.945155805043945,0.08618845502722579
2005,Non-Hispanic White,37-38 weeks,646335,1884,2.914897073499037,0.2853179359161971
2005,Non-Hispanic White,39-41 weeks,1229188,2385,1.940305307243481,0.542612396068538
2005,Non-Hispanic White,42+ weeks,130489,330,2.528948800282016,0.057603026510661876
2006,Non-Hispanic Black,<28 weeks,10446,4528,433.46735592571315,0.01707510036484419
2006,Non-Hispanic Black,28-31 weeks,12283,625,50.883334690222256,0.020077872657608766
2006,Non-Hispanic Black,32-33 weeks,14812,253,17.080745341614907,0.024211792705731584
2006,Non-Hispanic Black,34-36 weeks,72945,662,9.07533072863116,0.11923637718873821
2006,Non-Hispanic Black,37-38 weeks,182422,843,4.6211531503875625,0.29818820206352736
2006,Non-Hispanic Black,39-41 weeks,286876,919,3.2034746719837144,0.4689293980724719
2006,Non-Hispanic Black,42+ weeks,31984,125,3.908204102051026,0.05228125694707798
2006,Non-Hispanic White,<28 weeks,11927,5019,420.8099270562589,0.005197271465162551
2006,Non-Hispanic White,28-31 weeks,21777,1038,47.66496762639482,0.009489476037297297
2006,Non-Hispanic White,32-33 weeks,31110,515,16.554162648666026,0.013556394338996138
2006,Non-Hispanic White,34-36 weeks,197907,1309,6.614217789163597,0.0862393228687788
2006,Non-Hispanic White,37-38 weeks,665599,1839,2.7629248241058053,0.2900392965490675
2006,Non-Hispanic White,39-41 weeks,1236853,2401,1.941216943323095,0.5389671169196526
2006,Non-Hispanic White,42+ weeks,129685,359,2.7682461348652505,0.05651112182104514
2007,Non-Hispanic Black,<28 weeks,10821,4552,420.6635246280381,0.01737082645065905
2007,Non-Hispanic Black,28-31 weeks,12249,671,54.77998203935015,0.019663178374838067
2007,Non-Hispanic Black,32-33 weeks,14893,249,16.719264083797757,0.023907561069186328
2007,Non-Hispanic Black,34-36 weeks,73344,678,9.24410994764398,0.11773827697968187
2007,Non-Hispanic Black,37-38 weeks,184834,809,4.3769003538310045,0.29671188764264994
2007,Non-Hispanic Black,39-41 weeks,294303,991,3.3672779414413037,0.47244121032328906
