year,cause_of_death,composition_effect,rate_effect,gap,composition_lo,composition_hi,rate_lo,rate_hi,gap_lo,gap_hi
2003,Infection,0.3930850373795756,0.1695941748675986,0.5626792122471742,0.3651390092050839,0.4217132558854571,0.10435601296085832,0.23056096296221457,0.4883853797050129,0.6359171705388591
2003,Other,1.3106223081198254,0.30611789245429527,1.6167402005741207,1.2576737281264847,1.3602573669617704,0.1823388693481256,0.4169074907511451,1.4842923020806371,1.7480306557815775
2003,Circulatory diseases,0.07485386295881505,0.10613717079210405,0.1809910337509191,0.0631638397768794,0.08547550897670719,0.06137498017308061,0.15265210671888516,0.13320641511624182,0.23269519239964215
2003,Maternal complications,0.658071758096432,-0.07756402405607325,0.5805077340403588,0.6186889559405141,0.6967593171483032,-0.15485300426843093,-0.012322206619697917,0.49515411506049595,0.6635857500023276
2003,Placenta/cord/membranes,0.3734782602353174,-0.11036873843086864,0.26310952180444874,0.3453426756589953,0.39946726634642915,-0.16602505063768674,-0.055676871928455926,0.20347040784982795,0.3189494633126464
2003,Short gestation/LBW,1.8950578028219858,0.3699388357919518,2.2649966386139377,1.8334213767897702,1.9574010895418223,0.25559488001524133,0.49222305095050217,2.1204694918394624,2.419071986683398
2003,Hypoxia and birth asphyxia,0.07936330920483946,0.009986601574832325,0.08934991077967178,0.06644181586422541,0.09242233074321067,-0.025393704253151555,0.04831490945058094,0.051188363103953444,0.13191863093110986
2003,Respiratory distress,0.3087752660683605,-0.02844137121155465,0.2803338948568058,0.2843051487210906,0.3350634799013209,-0.07741264040963414,0.020748938756245852,0.2268781138906068,0.3391848476266766
2003,Hemorrhage,0.21593694617764111,-0.11978968415819231,0.0961472620194488,0.1957526061937103,0.23627155512907863,-0.1593228832250362,-0.07881039932773219,0.05327954678213631,0.1364796783393924
2003,Necrotizing enterocolitis,0.12379375939510101,0.07894639873601927,0.20274015813112028,0.10865632024980446,0.1391466949891093,0.04231459283339111,0.11481037467519084,0.16069866644969336,0.24572199006050116
2003,Congenital malformations,0.5205405793868519,-0.145150787781112,0.37538979160573993,0.48985839598334924,0.5510014922759521,-0.2595390971125669,-0.031960975589113594,0.25974068290873104,0.49033587893539354
2003,SIDS (R95),0.044565465934951545,0.537925772219506,0.5824912381544576,0.033931352325627155,0.05529327580452857,0.4461258355573194,0.6210645091901863,0.4921114081343329,0.667449126577996
2003,Ill-defined/unspecified (R99),0.04992072057276749,0.2632455085658911,0.31316622913865855,0.03980934834064413,0.060800649611144744,0.2029943094364838,0.3239392136294688,0.25181025530979845,0.3767440765250502
2003,Unintentional injuries,0.008327494115745392,0.052439697121815496,0.060767191237560886,0.003220828366407731,0.013267409502349548,0.01405448643351309,0.09100312092637336,0.023038181411005897,0.09944511559613124
2003,Accidental suffocation in bed (W75),0.006743389974005913,0.11919121663645121,0.12593460661045713,0.002301227920498929,0.01166937266409206,0.07796739421080974,0.15941257129586983,0.08385221793698686,0.16582363329407823
2003,Assault (homicide),0.006107475543945109,0.08905825866646536,0.09516573421041047,0.0017917311836021055,0.010530232629526083,0.058013955743981487,0.11961151652829746,0.06407929459301641,0.12720159957222044
2004,Infection,0.39791857802895425,0.13359751758766475,0.5315160956166189,0.37007174533659326,0.4275675776645916,0.07000572657783997,0.1969979468753409,0.4568177443847945,0.6015550351482907
2004,Other,1.306992367968863,0.3442332938310785,1.6512256617999417,1.2576255371671312,1.3541854117440713,0.21868166967441455,0.47198900504768515,1.5091561044562165,1.7919592305601537
2004,Circulatory diseases,0.07926690658229599,0.0425651700915084,0.12183207667380438,0.06656799313850331,0.09179584553509738,0.0012697681941585314,0.08315522107880459,0.07895902279832437,0.1637817937097923
2004,Maternal complications,0.6706693315348099,0.03375533677334097,0.7044246683081509,0.6345039271011939,0.7075012160336459,-0.039980833935412304,0.10291374396499,0.6187250287124109,0.787503025037352
2004,Placenta/cord/membranes,0.34016883505281836,-0.0644210251885433,0.27574780986427505,0.3129114539066951,0.3657927053233231,-0.11782079402543359,-0.008989133488894884,0.21539538700855063,0.3369322800703347
2004,Short gestation/LBW,1.814956609365345,0.31785917548789383,2.1328157848532387,1.750077046075646,1.8768454918586175,0.20316186889102536,0.4309138301542279,1.9890062048506685,2.2719368945169625
2004,Hypoxia and birth asphyxia,0.08378525607157838,0.017562271296788078,0.10134752736836647,0.07061679753426184,0.09669438239277987,-0.019024931448126257,0.058402601010264454,0.061167832933611777,0.14507385429072034
2004,Respiratory distress,0.3213268553131424,-0.00695729963010153,0.31436955568304087,0.29501122746591785,0.3463413355105855,-0.0536215965471761,0.04619412881275532,0.2583683568428705,0.37648537865089
2004,Hemorrhage,0.201885851494579,-0.05207302434566183,0.14981282714891717,0.181279051864642,0.22250063605122103,-0.09182558287870903,-0.009456048740672764,0.1069132499537578,0.19746876911681205
2004,Necrotizing enterocolitis,0.1422308348697729,0.04227649299322858,0.18450732786300147,0.1259792930627331,0.15899866068196625,0.005302957931176221,0.07877280843057949,0.1403480648037828,0.2282062077639691
2004,Congenital malformations,0.5235510073737751,-0.14909895951919205,0.3744520478545831,0.4943006022260184,0.5529917064569027,-0.2515534221768175,-0.04094229514498666,0.2686921950235689,0.4750717950313676
2004,SIDS (R95),0.0547989905733732,0.5154256252111715,0.5702246157845448,0.04403024438955548,0.06602745050468432,0.43128123234046056,0.6089473441610688,0.48405854588485464,0.6664073300599014
2004,Ill-defined/unspecified (R99),0.045024291421601054,0.33166919357689295,0.376693484998494,0.0350717404556063,0.05551196874002624,0.2677288299372931,0.3957587361455953,0.3120450981302731,0.4410547533014946
2004,Unintentional injuries,0.009934320477900554,0.06163333997145043,0.07156766044935098,0.005051267121080725,0.015572395656503452,0.02385538346335148,0.10091787166275037,0.03217153242814303,0.11130361411783495
2004,Accidental suffocation in bed (W75),0.010618635626793594,0.13261950619150906,0.14323814181830266,0.0055249660566339,0.016261556316166135,0.08752642478239614,0.17578688536111292,0.09734690722651237,0.18652748943866715
2004,Assault (homicide),0.005595722820398788,0.07586707807041683,0.08146280089081562,0.0018814508158637585,0.009408272088711858,0.045813935962570135,0.10777522984152055,0.05170142376719421,0.11424126084989185
2005,Infection,0.4160497508987506,0.09868738280948251,0.5147371337082332,0.3891937574477967,0.4476036341632757,0.03213221146843005,0.16642700813002675,0.44639928578212373,0.5928657275731863
2005,Other,1.3715496043056874,0.24049030158905335,1.6120399058947408,1.3201553753625987,1.4260582566925548,0.1129818255266727,0.3549017581958138,1.468993619869195,1.744836653650162
2005,Circulatory diseases,0.06303323970845041,0.08618682189847038,0.1492200616069208,0.05202323062400335,0.07405158743421865,0.04700758438155098,0.12583053107021006,0.10564437036246814,0.19164967275284533
2005,Maternal complications,0.6968754256101656,0.0037431530141436124,0.7006185786243092,0.6586665789763847,0.7336340669133627,-0.07153789250719295,0.07364439402194112,0.6161897600511482,0.78625644257478855
2005,Placenta/cord/membranes,0.3877106225778809,-0.14817723773660807,0.23953338484127285,0.3584076966781547,0.41642782607672113,-0.2028143646602996,-0.09546980389597096,0.18290333326778363,0.2975327286623315
2005,Short gestation/LBW,1.8732578881704762,0.32475975561067194,2.198017643781148,1.809387552641259,1.940738127048151,0.21267847319039843,0.44207177943790765,2.060291540288186,2.343057988556191
2005,Hypoxia and birth asphyxia,0.07574461207213708,-0.014211554828492134,0.06153305724364494,0.06394338911102859,0.0883149681101982,-0.05139244656870091,0.023199807532232945,0.021768012581543216,0.10105281777113152
2005,Respiratory distress,0.3318641388592777,-0.027258163095243225,0.3046059757640345,0.3062577769416415,0.3602783882956999,-0.0744192881613893,0.022858058840810033,0.24939822334721512,0.3610803210404098
