year,gestational_age_group,prop_black,prop_white,mortality_black,mortality_white,composition_contribution,rate_contribution,total_contribution
2003,<28 weeks,0.01724234854314012,0.00519323126287022,438.20682628629646,436.9775994650618,5.272599893871891,0.013789208223749164,5.28638910209564
2003,28-31 weeks,0.01923799886866302,0.00912765521528209,57.25504520135147,53.07209435038995,0.5577226475813105,0.059326068444259125,0.6170487160255697
2003,32-33 weeks,0.02346118846598435,0.01332729684586295,17.44664919505803,16.741035078005407,0.17322714358307686,0.012979237290511252,0.18620638087358812
2003,34-36 weeks,0.11433881785825964,0.08300488590865053,8.143072242878652,6.819227712002677,0.2344138442979455,0.13062619146731633,0.36504003576526184
2003,37-38 weeks,0.2784055175515338,0.27338126061304785,4.536878703172029,2.8723085008581997,0.018612830109195132,0.45924391448175683,0.47785674459095195
2003,39-41 weeks,0.48640990236069975,0.5534051171819384,3.492449879552013,1.9201249963723128,-0.1813083082742947,0.8174635145654381,0.6361552062911434
2003,42+ weeks,0.06090422635171932,0.06256055297234792,4.672762410222389,2.6019080659150045,-0.006024615182963637,0.1278387873160986,0.12181417213313496
2004,<28 weeks,0.01718168009913986,0.00520417158671505,442.7263479145473,428.4991568296796,5.21755544965779,0.15924389476608325,5.3767993444238735
2004,28-31 weeks,0.01979476369509247,0.00936355965336531,54.569536423841065,48.45587890716528,0.5373395644007063,0.089132001356481,0.6264715657571873
2004,32-33 weeks,0.02367331386192781,0.01356902175176979,17.867690490253985,16.00750250622514,0.17114242266220211,0.034638872602884875,0.20578129526508698
2004,34-36 weeks,0.1143359534084573,0.08442342298462312,9.080624942672822,6.96999937628641,0.2400573941312004,0.20975331068712771,0.4498107048183281
2004,37-38 weeks,0.28110137540834895,0.2741119669179676,4.563995423568621,2.950286944620089,0.026260194491670625,0.44797623906866557,0.4742364335603362
2004,39-41 weeks,0.48525923711942054,0.5525733224335339,3.342614371080623,1.8979069025047608,-0.17638044805027614,0.7496822249586783,0.5733017769084021
2004,42+ weeks,0.05865367640761308,0.06075453467202529,4.172005840808177,2.730109204368175,-0.007250182717291302,0.08608714895952418,0.07883696624223288
2005,<28 weeks,0.01799096819497076,0.0052575469636673,424.7260142280331,431.2342569269522,5.449651344938578,-0.07565348952095816,5.37399785541762
2005,28-31 weeks,0.02018579021375733,0.00934527869192584,53.89426784337247,51.01558809636278,0.5686382510341909,0.04250524498316889,0.6111434960173597
2005,32-33 weeks,0.02391300963888346,0.01367536082178416,17.647909735281353,17.495722909067435,0.1798940845849948,0.002860227401480981,0.1827543119864758
2005,34-36 weeks,0.11830419299213564,0.08618845502722579,8.610985219514335,6.945155805043945,0.249798474444949,0.17032493405679622,0.42012340850174523
2005,37-38 weeks,0.2910171417502192,0.2853179359161971,4.314750980625223,2.914897073499037,0.020601626183995803,0.4033924551426033,0.4239940813265991
2005,39-41 weeks,0.47492385576093216,0.542612396068538,3.3213033202107862,1.940305307243481,-0.17807530383114228,0.7026077709493489,0.5245324671182066
2005,42+ weeks,0.0536650414491014,0.05760302651066187,4.286450947531263,2.528948800282016,-0.013419471197725843,0.09777693417977952,0.08435746298205368
2006,<28 weeks,0.01707510036484419,0.00519727146516255,433.4673559257131,420.8099270562589,5.073479700072388,0.14095548109617265,5.214435181168561
2006,28-31 weeks,0.02007787265760876,0.00948947603729729,50.883334690222256,47.66496762639482,0.5217342555933506,0.04757929060219338,0.569313546195544
2006,32-33 weeks,0.02421179270573158,0.01355639433899613,17.080745341614907,16.554162648666026,0.17919667183246832,0.009944036820904893,0.1891407086533732
2006,34-36 weeks,0.1192363771887382,0.0862393228687788,9.07533072863116,6.614217789163597,0.25885444234865596,0.2528494520788555,0.5117038944275114
2006,37-38 weeks,0.29818820206352736,0.2900392965490675,4.6211531503875625,2.7629248241058053,0.03008607686277525,0.5465305001098933,0.5766165769726685
2006,39-41 weeks,0.4689293980724719,0.5389671169196526,3.2034746719837144,1.941216943323095,-0.1801612324541531,0.6361125828694566,0.4559513504153035
2006,42+ weeks,0.05228125694707798,0.05651112182104514,3.908204102051026,2.7682461348652505,-0.014120241169960947,0.06200936947290727,0.047889128302946324
2007,<28 weeks,0.01737082645065905,0.00526315103244248,420.6635246280381,419.15772089182497,5.084141525038435,0.01704116392970901,5.1011826889681435
2007,28-31 weeks,0.01966317837483806,0.00912293999355905,54.77998203935015,49.7832404363775,0.5510606454044403,0.07191839761973258,0.622979043024173
2007,32-33 weeks,0.02390756106918632,0.01339082960037863,16.719264083797757,16.163058647885496,0.17290727911989187,0.010372783820595597,0.18328006294048746
2007,34-36 weeks,0.11773827697968188,0.08454550235277193,9.24410994764398,6.950049092432568,0.26876453564479863,0.23202564990540267,0.5007901855502013
2007,37-38 weeks,0.29671188764264994,0.28478818968031244,4.3769003538310045,2.9102507363376926,0.04344489430254499,0.42642843298902705,0.46987332729157205
